ID	Jan	Feb	Mar	Apr	May	June	July	Aug	Sep	Oct	Nov	Dec	Total
226361	0	2	2	6	2	4	1	4	4	2	0	0	27
58516	0	0	1	5	23	14	0	0	0	0	0	0	43
148537	11	11	8	15	14	21	18	29	15	27	45	26	240
132334	13	10	23	14	17	26	19	16	13	27	45	22	245
174535	0	1	9	12	11	10	9	4	2	0	0	0	58
59190	0	0	4	20	38	24	32	36	34	30	0	0	218
257707	3	3	7	10	3	3	7	4	6	9	10	13	78
126606	4	1	3	2	3	4	6	9	5	5	3	2	47
148522	0	3	7	0	6	13	3	11	5	13	5	0	66
214593	0	0	0	0	0	3	0	1	0	0	0	0	4
117372	0	1	0	1	8	8	0	1	0	0	0	0	19
213341	1	1	2	10	11	10	4	6	8	4	0	0	57
148866	0	0	0	0	0	4	5	19	3	0	0	0	31
117374	0	0	0	1	7	6	1	9	11	1	0	0	36
59187	0	4	62	67	46	21	5	2	0	0	0	0	207
58495	0	0	0	0	0	0	0	28	38	0	0	0	66
117373	0	0	1	1	3	8	2	0	0	0	0	0	15
58518	0	0	2	4	25	30	8	2	0	0	0	0	71
83543	0	0	7	20	9	10	12	0	0	0	0	0	58
53866	4	2	0	6	5	14	22	34	45	78	64	6	280
58476	0	0	0	0	0	12	0	0	0	0	0	0	12
148524	4	7	20	9	4	10	24	24	29	30	12	9	182
148619	3	0	0	0	1	8	10	11	4	9	3	12	61
148519	1	1	4	6	5	9	3	4	16	11	9	1	70
126162	0	0	0	0	6	34	5	0	0	0	1	0	46
148607	0	2	1	3	1	3	10	6	3	5	0	0	34
117376	0	0	0	0	0	14	14	0	2	0	0	0	30
58519	0	0	0	4	12	87	86	36	4	3	0	0	232
148804	4	9	13	9	9	1	9	12	10	12	9	10	107
148527	2	0	4	2	0	2	3	2	7	2	3	2	29
202451	6	7	8	6	22	33	33	31	23	27	23	8	227
293920	0	0	0	4	3	7	7	4	3	1	1	0	30
127929	0	0	0	12	20	24	37	14	5	0	0	0	112
148599	0	0	1	0	2	3	2	1	5	1	2	0	17
257718	0	0	1	5	0	1	1	2	0	0	0	0	10
143021	3	2	7	2	1	4	7	7	9	5	5	6	58
132077	0	2	4	4	13	1	12	26	6	1	0	0	69
148592	4	0	2	4	1	2	2	2	11	7	7	9	51
108343	0	0	3	2	1	1	4	8	11	12	0	0	42
257673	0	4	3	1	2	4	1	1	0	1	0	2	19
213336	0	0	0	2	2	5	1	6	0	0	0	0	16
204689	0	0	1	0	4	16	36	9	7	1	1	0	75
129365	0	0	1	0	2	2	8	34	8	0	0	0	55
143767	0	0	0	0	0	2	17	2	0	0	0	0	21
214598	0	0	1	4	1	0	0	0	0	0	0	0	6
122372	0	0	0	0	2	12	2	14	7	1	0	0	38
204771	0	2	7	2	11	2	2	3	7	3	0	0	39
179300	0	0	0	0	0	0	10	3	11	1	0	0	25
127928	1	0	1	7	18	36	80	49	10	0	1	1	204
257761	1	5	3	6	5	1	7	7	9	7	16	7	74
127304	0	0	7	18	10	10	10	25	15	4	0	1	100
148535	5	0	8	5	0	1	0	0	0	0	3	16	38
221225	0	0	0	0	0	1	2	0	0	0	0	0	3
148802	0	0	0	0	0	3	9	4	4	9	1	1	31
148786	0	1	0	0	1	1	5	3	3	4	3	6	27
179855	9	4	11	12	3	19	14	13	15	24	7	1	132
69863	3	5	1	4	1	4	9	18	10	7	1	5	68
194111	1	2	0	3	1	1	1	1	1	5	3	3	22
205859	0	0	0	0	0	1	1	2	2	0	0	0	6
347790	0	0	2	0	2	0	1	2	7	2	0	1	17
198808	0	0	0	0	0	13	5	0	0	0	0	0	18
148819	3	1	2	0	1	2	1	2	0	1	0	3	16
59194	0	0	0	1	9	8	85	340	206	37	1	1	688
209741	0	0	0	1	4	3	6	6	6	1	0	0	27
229680	0	0	0	0	0	1	0	0	0	0	0	0	1
58508	0	0	0	0	0	3	30	0	0	0	0	0	33
293905	0	1	0	0	0	3	3	3	1	3	0	0	14
58468	0	0	0	0	0	1	16	55	8	0	0	0	80
213331	0	0	1	4	5	0	12	14	5	3	0	0	44
58522	0	0	0	0	0	1	30	0	0	0	0	0	31
148528	1	3	10	1	3	6	8	7	1	10	15	0	65
119280	0	0	0	0	0	0	2	1	0	0	0	0	3
227114	0	0	0	0	0	0	2	5	0	0	0	0	7
223527	3	4	1	1	0	2	1	0	1	3	4	1	21
148845	4	5	7	4	6	3	4	3	3	7	2	2	50
257806	0	0	1	1	0	0	2	0	2	1	1	2	10
